"order_id","full_date","year","quarter","month","month_name","weekday","customer_name","segment","category","sub_category","product_name","region","state","city","ship_mode","sales","quantity","discount","profit","profit_margin_pct"
"US-2015-165512","2015-05-24 00:00:00",2015,2,5,"May","Sunday","Vivek Sundaresam","Consumer","Office Supplies","Binders","Avery Heavy-Duty EZD View Binder with Locking Rings","Central","Illinois","Naperville","Second Class",7.66,6,0.8,-13.02,-169.97
"US-2015-165512","2015-05-24 00:00:00",2015,2,5,"May","Sunday","Vivek Sundaresam","Consumer","Furniture","Chairs","Global High-Back Leather Tilter, Burgundy","Central","Illinois","Naperville","Second Class",602.65,7,0.3,-163.58,-27.14
"CA-2016-142902","2016-09-12 00:00:00",2016,3,9,"September","Monday","Ben Peterman","Corporate","Office Supplies","Labels","Avery 509","West","Colorado","Arvada","Second Class",6.26,3,0.2,2.04,32.59
"CA-2017-122007","2017-03-18 00:00:00",2017,1,3,"March","Saturday","Jason Klamczynski","Corporate","Office Supplies","Appliances","Fellowes Basic Home/Office Series Surge Protectors","West","California","Los Angeles","Second Class",90.86,7,0.0,26.35,29.00
"CA-2017-153045","2017-01-19 00:00:00",2017,1,1,"January","Thursday","Neola Schneider","Consumer","Office Supplies","Paper","Strathmore Photo Mount Cards","East","Pennsylvania","Philadelphia","Second Class",21.7,4,0.2,7.05,32.49
"CA-2015-137113","2015-12-01 00:00:00",2015,4,12,"December","Tuesday","Tamara Willingham","Home Office","Office Supplies","Paper","Xerox Color Copier Paper, 11"" x 17"", Ream","West","Washington","Seattle","Second Class",114.2,5,0.0,52.53,46.00
"CA-2015-137113","2015-12-01 00:00:00",2015,4,12,"December","Tuesday","Tamara Willingham","Home Office","Office Supplies","Storage","Tennsco Industrial Shelving","West","Washington","Seattle","Second Class",146.73,3,0.0,2.93,2.00
"CA-2015-137113","2015-12-01 00:00:00",2015,4,12,"December","Tuesday","Tamara Willingham","Home Office","Furniture","Tables","Bush Advantage Collection Round Conference Table","West","Washington","Seattle","Second Class",1913.4,9,0.0,401.81,21.00
"US-2017-122637","2017-09-03 00:00:00",2017,3,9,"September","Sunday","Emily Phan","Consumer","Office Supplies","Binders","Premier Elliptical Ring Binder, Black","Central","Illinois","Chicago","Second Class",42.62,7,0.8,-68.19,-160.00
"CA-2014-166191","2014-12-05 00:00:00",2014,4,12,"December","Friday","David Kendrick","Corporate","Office Supplies","Storage","Tenex File Box, Personal Filing Tote with Lid, Black","Central","Illinois","Decatur","Second Class",24.82,2,0.2,1.86,7.49
"CA-2014-166191","2014-12-05 00:00:00",2014,4,12,"December","Friday","David Kendrick","Corporate","Technology","Accessories","Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB","Central","Illinois","Decatur","Second Class",408.74,7,0.2,76.64,18.75
"CA-2014-158274","2014-11-19 00:00:00",2014,4,11,"November","Wednesday","Robert Marley","Home Office","Technology","Phones","Nokia Lumia 521 (T-Mobile)","South","Louisiana","Monroe","Second Class",149.95,5,0.0,41.99,28.00
"CA-2015-100818","2015-05-31 00:00:00",2015,2,5,"May","Sunday","Janet Molinari","Corporate","Furniture","Furnishings","Tenex Traditional Chairmats for Hard Floors, Average Lip, 36"" x 48""","Central","Illinois","Chicago","Second Class",51.56,2,0.6,-61.87,-120.00
"US-2016-118780","2016-09-10 00:00:00",2016,3,9,"September","Saturday","Parhena Norris","Home Office","Office Supplies","Storage","Acco Perma 2700 Stacking Storage Drawers","East","New York","New York City","Second Class",59.48,2,0.0,8.92,15.00
"US-2016-118780","2016-09-10 00:00:00",2016,3,9,"September","Saturday","Parhena Norris","Home Office","Office Supplies","Paper","Wirebound Message Books, Four 2 3/4 x 5 White Forms per Page","East","New York","New York City","Second Class",6.69,1,0.0,3.08,46.04
"CA-2015-137113","2015-12-01 00:00:00",2015,4,12,"December","Tuesday","Tamara Willingham","Home Office","Office Supplies","Paper","Xerox 219","West","Washington","Seattle","Second Class",32.4,5,0.0,15.55,47.99
"CA-2015-100818","2015-05-31 00:00:00",2015,2,5,"May","Sunday","Janet Molinari","Corporate","Office Supplies","Paper","Xerox 1988","Central","Illinois","Chicago","Second Class",173.49,7,0.2,54.22,31.25
"CA-2014-144281","2014-06-10 00:00:00",2014,2,6,"June","Tuesday","Heather Kirkland","Corporate","Office Supplies","Labels","Dot Matrix Printer Tape Reel Labels, White, 5000/Box","Central","Michigan","Detroit","Second Class",491.55,5,0.0,240.86,49.00
"CA-2014-158274","2014-11-19 00:00:00",2014,4,11,"November","Wednesday","Robert Marley","Home Office","Technology","Accessories","HP Standard 104 key PS/2 Keyboard","South","Louisiana","Monroe","Second Class",29.0,2,0.0,7.25,25.00
"CA-2014-115259","2014-08-25 00:00:00",2014,3,8,"August","Monday","Ryan Crowe","Consumer","Office Supplies","Envelopes","Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2","East","Ohio","Columbus","Second Class",4.72,2,0.2,1.65,34.96
"CA-2015-148635","2015-07-25 00:00:00",2015,3,7,"July","Saturday","Michelle Huthwaite","Consumer","Office Supplies","Fasteners","Plymouth Boxed Rubber Bands by Plymouth","West","Washington","Seattle","Second Class",9.42,2,0.0,0.47,4.99
"CA-2015-148635","2015-07-25 00:00:00",2015,3,7,"July","Saturday","Michelle Huthwaite","Consumer","Office Supplies","Paper","Xerox 228","West","Washington","Seattle","Second Class",12.96,2,0.0,6.22,47.99
"CA-2015-148635","2015-07-25 00:00:00",2015,3,7,"July","Saturday","Michelle Huthwaite","Consumer","Furniture","Bookcases","Sauder Forest Hills Library, Woodland Oak Finish","West","Washington","Seattle","Second Class",704.9,5,0.0,56.39,8.00
